web_name,id,ques,web
BBC News,BBC News--0,Find a report on the BBC News website about recent developments in renewable energy technologies in the UK.,https://www.bbc.com/news/
BBC News,BBC News--1,Read the latest health-related news article published on BBC News and summarize the key points discussed.,https://www.bbc.com/news/
BBC News,BBC News--2,Read the latest article regarding the environmental impacts of deforestation published within the last two days.,https://www.bbc.com/news/
BBC News,BBC News--3,"Check the leaderboard for Golf's DP World Tour in the SPORT section, what was the name of the most recent tournament, and how many teams have a Total of -10 strokes.",https://www.bbc.com/news/
BBC News,BBC News--4,Find the latest article regarding the economic implications of climate change in Europe as reported by BBC News and summarize the central points.,https://www.bbc.com/news/
BBC News,BBC News--5,"Find the article ""What is climate change? A really simple guide"" and use it to answer what human activities are causing climate change.",https://www.bbc.com/news/
BBC News,BBC News--6,Find the top story from BBC News in the technology section for today.,https://www.bbc.com/news/
BBC News,BBC News--7,Find a AI-related story under Technology of Business. What is in the first picture in the story?,https://www.bbc.com/news/
BBC News,BBC News--8,Get a brief overview of the economic implications of the UK's latest trade deal posted on BBC News and the date when the article was published.,https://www.bbc.com/news/
BBC News,BBC News--9,Find out which musician made the headlines in Music News.,https://www.bbc.com/news/
BBC News,BBC News--10,Identify the main headlines covering the UK's plan to tackle climate change on BBC News.,https://www.bbc.com/news/
BBC News,BBC News--11,Find out how many teams are in the Scottish Premiership of the Football Tournament and when did the Hibernian team's most recent match start?,https://www.bbc.com/news/
BBC News,BBC News--12,"Find a picture in the travel section that contains food, tell me what the food is called and what region it comes from.",https://www.bbc.com/news/
BBC News,BBC News--13,Search for recent news related to Trump and summarize the main points.,https://www.bbc.com/news/
BBC News,BBC News--14,"Find a news article on BBC News about the impact of the recent tech industry layoffs on the global economy. Summarize the key points and the name of the author, and provide the date of publication.",https://www.bbc.com/news/
BBC News,BBC News--15,What does the current headline in Natural Wonders tell about.,https://www.bbc.com/news/
BBC News,BBC News--16,Identify the most recent development or update in Brexit negotiations as reported on BBC News and report the key points and any stated impacts on European economies.,https://www.bbc.com/news/
BBC News,BBC News--17,How many War related sections are currently in BBC News.,https://www.bbc.com/news/
BBC News,BBC News--18,"Visit BBC News Audio, What are the best PodCasts for 2023? List 2 of them.",https://www.bbc.com/news/
BBC News,BBC News--19,Visit the Athletics calendar for the date of the next earliest game.,https://www.bbc.com/news/
BBC News,BBC News--20,Find the latest article in the Green Living section on BBC News and provide a summary of its main points.,https://www.bbc.com/news/
BBC News,BBC News--21,Identify the top headline in the World News section on BBC News and describe the region it is related to.,https://www.bbc.com/news/
BBC News,BBC News--22,Determine the current top business story on BBC News and give a brief overview of its economic implications.,https://www.bbc.com/news/
BBC News,BBC News--23,Identify the latest health-related news on BBC News and summarize the main findings or recommendations.,https://www.bbc.com/news/
BBC News,BBC News--24,Search the latest article about space exploration on BBC News and summarize its key points.,https://www.bbc.com/news/
BBC News,BBC News--25,Find the most recent sports analysis article on BBC News related to the English Premier League and summarize its key insights.,https://www.bbc.com/news/
BBC News,BBC News--26,Locate the latest report on BBC News about the impact of recent natural disasters in Asia and summarize the key points and areas affected.,https://www.bbc.com/news/
BBC News,BBC News--27,Find the most recent article on BBC News about archaeological discoveries and summarize the main findings and their significance.,https://www.bbc.com/news/
BBC News,BBC News--28,Find the Market Data section on BBC News and tell me which company the data comes from.,https://www.bbc.com/news/
BBC News,BBC News--29,"Visit BBC News Audio and find out which podcast episode is currently featured as the ""New Releases"".",https://www.bbc.com/news/
BBC News,BBC News--30,"In the Culture section, identify the latest film release reviewed and provide a brief summary of the review.",https://www.bbc.com/news/
BBC News,BBC News--31,Check the Sports section for the result of the most recent Manchester United football match.,https://www.bbc.com/news/
BBC News,BBC News--32,"Find the artificial intelligence section, what is the top headline at this time, and which companies are involved?",https://www.bbc.com/news/
BBC News,BBC News--33,"In the World News section, find the latest war situations of Middle East and provide a brief summary.",https://www.bbc.com/news/
BBC News,BBC News--34,Find The SpeciaList section in Travel and browse the page to see which cities are mentioned.,https://www.bbc.com/news/
BBC News,BBC News--35,"In the Asia section, browse and identify the most recent report about technological advancements and summarize its content.",https://www.bbc.com/news/
BBC News,BBC News--36,"Look up recent articles in the Africa news section in World, summarize what topics most of these news are about",https://www.bbc.com/news/
BBC News,BBC News--37,Identify the latest book review featured in the Culture section and provide the title and author of the book.,https://www.bbc.com/news/
BBC News,BBC News--38,Find news related to the storm in Weather section and indicate where and when the severe weather occurred.,https://www.bbc.com/news/
BBC News,BBC News--39,"Check the Horse Racing results in Sport section, browse all the games that took place yesterday and see which one had the highest number of runners.",https://www.bbc.com/news/
BBC News,BBC News--40,Read and summarise a recent story on BBC News about people being injured or killed in wars.,https://www.bbc.com/news/
BBC News,BBC News--41,"Find Golf in BBC News, check the Leaderboard at this point in Women's Majors and count which country has the most players in the top 20? Which player has the best score amongst the Australian players and in what place.",https://www.bbc.com/news/

